Algorithm,MNIST,Newsgroups,Glass
SC,29.2,47.957992998833134,29.439252336448597
Manifold + X,27.0,44.457409568261376,28.504672897196258
Manifold + X Average,25.900000000000002,44.1073512252042,28.504672897196258
Manifold + X Kernel,28.4,44.457409568261376,28.504672897196258
Manifold Average + X,27.700000000000003,47.141190198366395,28.504672897196258
Manifold Average + X Average,26.8,44.340723453908986,28.504672897196258
Manifold Average + X Kernel,30.2,42.82380396732789,28.504672897196258
Manifold Kernel + X,26.700000000000003,45.85764294049008,28.504672897196258
Manifold Kernel + X Average,26.5,43.87397899649942,28.037383177570092
Manifold Kernel + X Kernel,30.099999999999998,42.35705950991832,28.037383177570092
